,Adjusted Postcode,Unnamed: 0,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,Total Growth,Total Growth %,number of trips,number of stops,trips per stop,suburb
9,3023,1500,42548.0,45272.0,47384.0,48530.0,49365.0,6817.0,9.040908287683337,9814,209,46.95693779904306,Burnside
10,3024,391,24270.0,33524.0,44369.0,55077.0,65947.0,41677.0,96.71578570576304,3170,98,32.3469387755102,Manor Lakes
12,3028,1118,34899.0,38995.0,40691.0,42190.0,43810.0,8911.0,12.347736889344787,4291,77,55.72727272727273,Altona Meadows
17,3038,716,32398.0,32334.0,32448.0,32742.0,33186.0,788.0,2.634997216552236,4625,115,40.21739130434783,Keilor Downs
120,3173,335,27471.0,32532.0,36093.0,37937.0,39749.0,12278.0,22.184310832411164,5280,122,43.278688524590166,Keysborough
121,3174,1015,40379.0,43020.0,45901.0,49288.0,52877.0,12498.0,22.912598791259878,4310,127,33.93700787401575,Noble Park
135,"3192, 3190",360,34912.0,39324.0,43072.0,46541.0,50101.0,15189.0,27.40565557929,9381,190,49.373684210526314,Highett
138,3195,378,30396.0,31661.0,32646.0,33832.0,35219.0,4823.0,11.23780044850131,5407,154,35.11038961038961,Aspendale
142,3199,798,42505.0,44614.0,46546.0,48651.0,51036.0,8531.0,14.394584659523915,12850,280,45.892857142857146,Frankston
150,3337,756,37717.0,43397.0,46734.0,49907.0,53841.0,16124.0,24.06617968984031,5538,183,30.262295081967213,Harkness
151,3338,378,24243.0,34384.0,46165.0,58355.0,70474.0,46231.0,104.96161005118661,2392,72,33.22222222222222,Brookfield
152,3429,501,40924.0,46226.0,52900.0,60940.0,70176.0,29252.0,51.81066932029593,6465,225,28.733333333333334,Sunbury
165,3805,976,45770.0,47255.0,48144.0,49316.0,50737.0,4967.0,7.368532430430642,11535,223,51.72645739910314,Narre Warren
