,Area Name,Lat,Lon,place_id,addr_1,addr-2,Confidence,Municipality,Suburb_geoapify,bbox_lat1,bbox_lat2,bbox_lon1,bbox_lon2
0,Abbotsford,-37.8045508,144.9988542,511d4f159df61f6240593efc4685fbe642c0f00101f901335d240000000000c00205,Abbotsford,Abbotsford,1.0,City of Yarra,Abbotsford,-37.812143,-37.79529,144.9913672,145.015835
1,Airport West,-37.7222576,144.8834942,5195e6a095451c624059cba4e1ef72dc42c0f00101f9015ba3240000000000c00205,Airport West,Airport West,1.0,City of Moonee Valley,Airport West,-37.73467,-37.710812,144.863831,144.893467
2,Albert Park,-37.8452062,144.957105,51d23aaa9aa01e6240592fb07db72fec42c0f00101f9011595240000000000c00205,Albert Park,Albert Park,1.0,City of Port Phillip,Albert Park,-37.853647,-37.837092,144.942731,144.978942
3,Alphington - Fairfield,-37.7845032,145.0158191,51dea40e978120624059becdd1996ae442c0f00101f901a059240000000000c00205,Fairfield,Fairfield,1.0,City of Yarra,Fairfield,-37.803675,-37.765188,145.001139,145.027418
4,Altona,-37.8602151,144.813703,5107b5dfda091a6240593f0345871bee42c0f00101f90144d9240000000000c00205,Altona,Altona,1.0,City of Hobsons Bay,Altona,-37.881996,-37.844518,144.777726,144.867667
5,Altona Meadows,-37.8814419,144.7845482,5157a4d3041b196240597ce99216d3f042c0f00101f9014dd9240000000000c00205,Altona Meadows,Altona Meadows,1.0,City of Hobsons Bay,Altona Meadows,-37.900054,-37.859043,144.753634,144.808394
6,Altona North,-37.8378229,144.8342853,5113e11577b21a62405981abe1c73deb42c0f00101f90140d9240000000000c00205,Altona North,Altona North,1.0,City of Hobsons Bay,Altona North,-37.852412,-37.82427,144.785132,144.867103
7,Ardeer,-37.7758681,144.8014637,51cc8d3397a5196240593cc159a54fe342c0f00101f901eaf2240000000000c00205,Ardeer,Ardeer,1.0,City of Brimbank,Ardeer,-37.784123,-37.767243,144.791362,144.815355
8,Albion,-37.7763803,144.8160713,5189168f411d1a6240591ce1fe6d60e342c0f00101f901e8f2240000000000c00205,Albion,Albion,1.0,City of Brimbank,Albion,-37.785371,-37.766122,144.805539,144.82792
9,Armadale,-37.8567619,145.0206905,51d09a1f7fa920624059bb7aba5faaed42c0f00101f901328e240000000000c00205,Armadale,Armadale,1.0,City of Stonnington,Armadale,-37.866087,-37.849282,145.008935,145.029933
10,Ascot Vale,-37.7769563,144.9137235,51c6c210393d1d624059e975d54d73e342c0f00101f9019397240000000000c00205,Ascot Vale,Ascot Vale,1.0,City of Moonee Valley,Ascot Vale,-37.789662,-37.770033,144.895812,144.93708
11,Ashburton,-37.8673582,145.0806524,51018b57b494226240596e75ef9705ef42c0f00101f901de8d240000000000c00205,Ashburton,Ashburton,1.0,City of Boroondara,Ashburton,-37.875993,-37.8581,145.061566,145.093667
12,Ashwood,-37.866672,145.1022346,51a1f07e814523624059f12dac1befee42c0f00101f901e88d240000000000c00205,Ashwood,Ashwood,1.0,City of Monash,Ashwood,-37.874198,-37.856642,145.091823,145.112996
13,Chadstone,-37.8822799,145.1001365,5159147651342362405986353a8ceef042c0f00101f9016b90240000000000c00205,Chadstone,Chadstone,1.0,City of Monash,Chadstone,-37.892735,-37.872989,145.089383,145.110735
14,Aspendale Gardens,-38.0221438,145.11984,511618b2bad5236240599367a89bd50243c0f00101f90197f3240000000000c00205,Aspendale Gardens,Aspendale Gardens,1.0,City of Kingston,Aspendale Gardens,-38.033793,-38.011918,145.100635,145.137298
15,Balwyn,-37.8091737,145.0833678,5143d1f2f2aa226240594424f90093e742c0f00101f9016760240000000000c00205,Balwyn,Balwyn,1.0,City of Boroondara,Balwyn,-37.818611,-37.800793,145.061357,145.10488
16,Balwyn North,-37.7919518,145.0842372,5169633612b222624059118134ad5ee542c0f00101f901cd5f240000000000c00205,Balwyn North,Balwyn North,1.0,City of Boroondara,Balwyn North,-37.804705,-37.776936,145.06252,145.108554
17,Bayswater,-37.8454443,145.2647667,513cb203f87828624059788bd18437ec42c0f00101f9015ba9240000000000c00205,Bayswater,Bayswater,1.0,City of Knox,Bayswater,-37.8595855,-37.833033,145.238287,145.287266
18,Bayswater North,-37.8255813,145.28219,5144a852b3072962405937d8e5a5ace942c0f00101f90168a9240000000000c00205,Bayswater North,Bayswater North,1.0,City of Maroondah,Bayswater North,-37.837917,-37.813272,145.258531,145.30583
